Term	Definition
factor	cause
factored	caused
factor	cause
failed to	did not
family histories	health information about your close relativess
family history	health information about your close relatives
fallacies	errors
fallacy	error
fasts	go without any food or drinks
fasted	went without any food or drank
fast	go without any food or drink
fasting	going without any food or drinking
fast	go without any food or drink
fasted	gone without any food or drunk
fast	go without any food or drink
fatigues	tireds
fatigued	tired
fatigue	tired
fatiguing	tired
fatigue	tired
fatigued	tired
fatigue	tired
feasible	possible
febrile	caused by a fever
fertilities	abilities to have a baby
fertility	ability to have a baby
fetuss	unborn baby (12 weeks to birth)s
fetus	unborn baby (12 weeks to birth)
finalized	completed
finalize	complete
finalizing	completing
finalize	complete
finalized	completed
finalize	complete
flares	a period of time when symptoms of a disease are worses
flared	a period of timed when symptoms of a disease are worse
flare	a period of time when symptoms of a disease are worse
flaring	a period of timing when symptoms of a disease are worse
flare	a period of time when symptoms of a disease are worse
flared	a period of timed when symptoms of a disease are worse
flare	a period of time when symptoms of a disease are worse
than normal	
flexible	moving easily
fluctuated	changed
fluctuate	change
fluctuating	changing
fluctuate	change
fluctuated	changed
fluctuate	change
followings	afters
following	after
fractures	breaks
fractured	broke
fracture	break
fracturing	breaking
fracture	break
fractured	broken
fracture	break
frequently	often
fundamentals	basics
fundamental	basic
gametes	sex cells
gamete	sex cell
general anesthesias	puts to "sleep"
general anesthesia	put to "sleep"
general anesthesia	put to "sleep"
general anesthesia	putting to "sleep"
general anesthesia	put to "sleep"
general anesthesia	put to "sleep"
general anesthesia	put to "sleep"
generation timed	timed needed for disease to spread from one person to another
generation time	time needed for disease to spread from one person to another
generation timing	timing needed for disease to spreading from one person to another
generation time	time needed for disease to spread from one person to another
generation timed	timed needed for disease to spread from one person to another
generation time	time needed for disease to spread from one person to another
geneticss	family traitss
genetics	family traits
genital area	genital area
Genital Herpes Simplex	Herpes (sores) in the genital area
gestations	pregnancies
gestation	pregnancy
gingivas	gumss
gingiva	gums
gingivectomy	gum surgery
gingivitis	inflammations of the gums
gingivitis	inflammation of the gums
glaucomas	eye diseases
glaucoma	eye disease
glucose	sugars
glucose	sugar
gradually	slowly
gravid	pregnant
Guillain-Barre Syndrome	GBS; a disease that makes it hard to move
H5N1	bird flu virus
Haemophilus influenzae typed b (Hib)	a lung disease
Haemophilus influenzae type b (Hib)	a lung disease
Haemophilus influenzae typing b (Hib)	a lung disease
Haemophilus influenzae type b (Hib)	a lung disease
Haemophilus influenzae typed b (Hib)	a lung disease
Haemophilus influenzae type b (Hib)	a lung disease
hallucinated	saw things that are not there
hallucinate	see things that are not there
hallucinating	seeing things that are not there
hallucinate	see things that are not there
hallucinated	seen things that are not there
hallucinate	see things that are not there
handed hygiene	handed washing
hand hygiene	hand washing
handing hygiene	handing washing
hand hygiene	hand washing
handed hygiene	handed washing
hand hygiene	hand washing
hazards	hazards
hazarded	hazarded
hazard	hazard
hazarding	hazarding
hazard	hazard
hazarded	hazarded
hazard	hazard
hazardous	harmful
hazardous wasted	harmful trashed liked used needles
hazardous waste	harmful trash like used needles
hazardous wasting	harmful trashing liking used needles
hazardous waste	harmful trash like used needles
hazardous wasted	harmful trashed liked used needles
hazardous waste	harmful trash like used needles
hematocrit (hct)	amount of red blood cells in the blood
hematocrit tested	blooded tested
hematocrit test	blood test
hematocrit testing	blooding testing
hematocrit test	blood test
hematocrit tested	blooded tested
hematocrit test	blood test
hematological	related to blood
hematurias	bloods in the urine
hematuria	blood in the urine
hemodialyses	uses of a machine to clean your blood
hemodialysis	use of a machine to clean your blood
hemoglobin A1C	a test to show your blood sugar levels over the last 3 months
hepatics	relateds to the liver
hepatic	related to the liver
hepatitis A	disease that you get from drinking bad water or eating bad food
hepatitis B	disease that you get from someone else’s blood or from unsafe sex
hepatitis C	liver disease that you get from someone else’s blood or unsafe sex
hepatitis D	virus that can only be found in your blood if you also have hepatitis B
hepatitis E	disease that you get from drinking bad water or from eating bad food
herded immunity	grouped protection from disease
herd immunity	group protection from disease
herding immunity	grouping protection from disease
herd immunity	group protection from disease
herded immunity	grouped protection from disease
herd immunity	group protection from disease
herpes simplexes	cold soress
herpes simplex	cold sores
herpes zosters	shingless
herpes zoster	shingles
high risked	dangerous
high risk	dangerous
high risking	dangerous
high risk	dangerous
high risked	dangerous
high risk	dangerous
highly	very probably
hivess	rash; reds
hives	rash; red
Hodgkin’s disease	lymph node cancer
homologous	similar
hormones	chemicals
hormone	chemical
hosts	person; animals
hosted	person; animal
host	person; animal
hosting	person; animal
host	person; animal
hosted	person; animal
host	person; animal
HPAI	a dangerous bird flu
HPV	a virus that may cause cervical and/or oral cancer
humidified	to moistened aired
humidify	to moisten air
humidifying	to moistening airing
humidify	to moisten air
humidified	to moistened aired
humidify	to moisten air
hyperglycemias	high blood sugars
hyperglycemia	high blood sugar
hyperlipidemias	high cholesterols
hyperlipidemia	high cholesterol
hypertensive heart disease	high blood pressure
hypersensitivities	strong reactions
hypersensitivity	strong reaction
hypertensions	high blood pressures
hypertension	high blood pressure
hypoglycemias	low blood sugars
hypoglycemia	low blood sugar
hyposensitivity	weak reaction
hypotensions	low blood pressures
hypotension	low blood pressure
hysterectomies	surgeries to remove the womb
hysterectomy	surgery to remove the womb
identical	same
illness rated or clinical attacked rated	numbed of  people; (Use a ratio liked “3 in every 10 New Yorkers are sick” or a percentage liked “30 percent of all Floridians are sick.”)
illness rate or clinical attack rate	number of sick people; (Use a ratio like “3 in every 10 New Yorkers are sick” or a percentage like “30 percent of all Floridians are sick.”)
illness rating or clinical attacking rating	numbing of  people; (Use a ratio liking “3 in every 10 New Yorkers are sick” or a percentage liking “30 percent of all Floridians are sick.”)
illness rate or clinical attack rate	number of sick people; (Use a ratio like “3 in every 10 New Yorkers are sick” or a percentage like “30 percent of all Floridians are sick.”)
illness rated or clinical attacked rated	numbed of  people; (Use a ratio liked “3 in every 10 New Yorkers are sick” or a percentage liked “30 percent of all Floridians are sick.”)
illness rate or clinical attack rate	number of sick people; (Use a ratio like “3 in every 10 New Yorkers are sick” or a percentage like “30 percent of all Floridians are sick.”)
illustrated	showed
illustrate	show
illustrating	showing
illustrate	show
illustrated	shown
illustrate	show
immediately	at once
immersed	put completely in
immerse	put completely in
immersing	putting completely in
immerse	put completely in
immersed	put completely in
immerse	put completely in
immune globulins	somethings in your blood that helps fight disease
immune globulin	something in your blood that helps fight disease
immunes	protecteds from
immune	protected from
immunities	protections from disease
immunity	protection from disease
immunizations	getting a vaccines (shot); vaccines
immunization	getting a vaccine (shot); vaccine
immunized	to protected again disease
immunize	to protect again disease
immunizing	to protecting again disease
immunize	to protect again disease
immunized	to protected again disease
immunize	to protect again disease
immunological	related to the immune system
immunosuppressions	when your body can’t fight diseases
immunosuppression	when your body can’t fight disease
immunotherapies	medical treatment that helps your body fight off diseasess
immunotherapy	medical treatment that helps your body fight off diseases
impactions	teeth pressing togethers
impaction	teeth pressing together
impaired	not normal/something is wrong
impeded	get in the way
impede	get in the way
impeding	get in the way
impede	get in the way
impeded	get in the way
impede	get in the way
imperatives	importants
imperative	important
imperceptible	hard to see
implements	starts
implemented	started
implement	start
implementing	starting
implement	start
implemented	started
implement	start
inabilities	not able toes
inability	not able to
in excess of	more than
inevitables	likelies
inevitable	likely
inserts	puts
inserted	put
insert	put
inserting	putting
insert	put
inserted	put
insert	put
institutes	starts
instituted	started
institute	start
instituting	starting
institute	start
instituted	started
institute	start
instructed	told
in the absence of	without
in the coursed of	during
in the course of	during
in the coursing of	during
in the course of	during
in the coursed of	during
in the course of	during
in the event of	if
in utero	in the womb
in vitro	out of the body
in vivo	within the body
inaccuracies	errors
inaccuracy	error
inactive vaccine	a vaccine that uses germs that have been killed
inadvertently	without meaning to
inadvisable	risky
inapparent infection	when you are sick but you don’t feel bad
incidences	how many people get sicks
incidence	how many people get sick
incident of national significance	national emergency
incipient	beginning
incised	cut
incise	cut
incising	cutting
incise	cut
incised	cut
incise	cut
incisions	cuts
incision	cut
incisors	front teeth
inclement	harsh
incorrect	wrong
increases	adds to
increased	added to
increase	add to
increasing	adding to
increase	add to
increased	added to
increase	add to
incubation periods	the length of time a disease is in someone’s body before they feel or look sicks
incubation period	the length of time a disease is in someone’s body before they feel or look sick
indicated	suggested
indicate	suggest
indicating	suggesting
indicate	suggest
indicated	suggested
indicate	suggest
indications	signs
indication	sign
indigenous	local to
individuals	people
individual	person
inexpensive	cheap
infants	babies
infant	baby
infected	disease spread by germ or virus
infect	disease spread by germ or virus
infecting	disease spreading by germ or virus
infect	disease spread by germ or virus
infected	disease spread by germ or virus
infect	disease spread by germ or virus
infections	diseases
infection	disease
infectious agents	viruss
infectious agent	virus
infectious	something that can spread disease
infertile	sterile
inflamed	made hot
inflame	make hot
inflaming	making hot
inflame	make hot
inflamed	made hot
inflame	make hot
inflammations	swellings
inflammation	swelling
inflammatory bowel diseases	digestive system diseases
inflammatory bowel disease	digestive system disease
influenzas	flus
influenza	flu
informed	told
inform	tell
informing	telling
inform	tell
informed	told
inform	tell
information	information
information	information
infusions	put fluids or drugs directly into your bloods
infusion	put fluids or drugs directly into your blood
ingestions	eatings
ingestion	eating
inhalations	breathings
inhalation	breathing
inhaled	breathed in
inhale	breathe in
inhaling	breathing in
inhale	breathe in
inhaled	breathed in
inhale	breathe in
inhalers	breathing medicine/drugs
inhaler	breathing medicine/drug
inherent	natural
inherited	acquired
inherit	acquire
inheriting	acquiring
inherit	acquire
inherited	acquired
inherit	acquire
inheritances	from parentss
inheritance	from parents
inhibited	checked
inhibit	check
inhibiting	checking
inhibit	check
inhibited	checked
inhibit	check
initials	firsts
initialled	first
initial	first
initialling	first
initial	first
initialled	first
initial	first
inject/injection	shot
injections	shots
injection	shot
innocuous	safe
inquired	asked
inquire	ask
inquiring	asking
inquire	ask
inquired	asked
inquire	ask
instruments	tools
instrument	tooled
instrument	tool
instrument	tooling
instrument	tool
instrument	tooled
instrument	tool
insufficient	not enough
insulins	blood sugars
insulin	blood sugar
integrated	combined with
integrate	combine with
integrating	combining with
integrate	combine with
integrated	combined with
integrate	combine with
intentions	goals
intention	goal
internal organs	inside parts of your body (heart
interrupts	stops
interrupted	stopped
interrupt	stop
interrupting	stopping
interrupt	stop
interrupted	stopped
interrupt	stop
interventions	cares
intervention	care
intrauterine devices	IUDs
intrauterine device	IUD
intravenous (IV)	into your vein; into your blood stream
investigational vaccine	vaccine still being tested
irrefutable	certain
irritable	sensitive
irritants	bother; pains
irritant	bother; pain
isolated	a specific typed of virus; a specific typed of flu
isolate	a specific type of virus; a specific type of flu
isolating	a specific typing of virus; a specific typing of flu
isolate	a specific type of virus; a specific type of flu
isolated	a specific typed of virus; a specific typed of flu
isolate	a specific type of virus; a specific type of flu
isolation of ill peopled	staying away from peopled who are sick; keeping  peopled at homed
isolation of ill people	staying away from people who are sick; keeping sick people at home
isolation of ill peopling	staying away from peopling who are sick; keeping  peopling at homing
isolation of ill people	staying away from people who are sick; keeping sick people at home
isolation of ill peopled	staying away from peopled who are sick; keeping  peopled at homed
isolation of ill people	staying away from people who are sick; keeping sick people at home
jaundices	skin and eyes turn yellows
jaundiced	skinned and eyes turned yellowed
jaundice	skin and eyes turn yellow
jaundicing	skinning and eyes turning yellowing
jaundice	skin and eyes turn yellow
jaundiced	skinned and eyes turned yellowed
jaundice	skin and eyes turn yellow
joints	where bones come togethers
jointed	where bones came together
joint	where bones come together
jointing	where bones coming together
joint	where bones come together
jointed	where bones come together
joint	where bones come together
kidneys	organ that filters bloods
kidney	organ that filters blood
lacerated	ragged cut
lacerate	ragged cut
lacerating	ragged cutting
lacerate	ragged cut
lacerated	ragged cut
lacerate	ragged cut
lacerations	ragged cuts
laceration	ragged cut
lesions	cuts
lesion	cut
ligaments	bone connectors
ligament	bone connector
linguals	on the tongues
lingual	on the tongue
lived vaccine	a vaccine that has a weakened formed of the virus in it
live vaccine	a vaccine that has a weakened form of the virus in it
living vaccine	a vaccine that has a weakened forming of the virus in it
live vaccine	a vaccine that has a weakened form of the virus in it
lived vaccine	a vaccine that has a weakened formed of the virus in it
live vaccine	a vaccine that has a weakened form of the virus in it
local anesthesias	drug that causes numbing only in the area of the body where the drug is put by spreading it or with a shots
local anesthesia	drug that causes numbing only in the area of the body where the drug is put by spreading it or with a shot
localized	in a small area
located	find
locate	find
locating	find
locate	find
located	find
locate	find
locations	places
location	place
long-term	for a long time
lower respiratory infections	pneumonias
lowered respiratory infection	pneumonia
lower respiratory infection	pneumonia
lowering respiratory infection	pneumonia
lower respiratory infection	pneumonia
lowered respiratory infection	pneumonia
lower respiratory infection	pneumonia
lung functioned	measured of how strong your lungs are
lung function	measure of how strong your lungs are
lung functioning	measuring of how strong your lungs are
lung function	measure of how strong your lungs are
lung functioned	measured of how strong your lungs are
lung function	measure of how strong your lungs are
lungs	breathing organs
lymphatic	related to the lymph system
lymphocytes	white blood cells
lymphomata	cancers of lymphatic system
lymphoma	cancer of lymphatic system
macrophages	disease-fighting cells
macrophage	disease-fighting cell
macular	a spot on your cornea; eye disease
magnitudes	extents
magnitude	extent
maintained	took cared of
maintain	take care of
maintaining	taking caring of
maintain	take care of
maintained	taken cared of
maintain	take care of
mammograms	breast health tests
mammogram	breast health test
malignant	cancer
malignant tumors	cancers
malignant tumor	cancer
malocclusions	crowded teeths
malocclusion	crowded teeth
managed	controlled
manage	control
managing	controlling
manage	control
managed	controlled
manage	control
mandibles	lower jaws
mandible	lower jaw
manifests	clears
manifested	cleared
manifest	clear
manifesting	clearing
manifest	clear
manifested	cleared
manifest	clear
masks	hides
masked	hid
mask	hide
masking	hiding
mask	hide
masked	hidden
mask	hide
mastectomies	breasts cancer surgery; surgery to remove your breasts
mastectomy	breast cancer surgery; surgery to remove your breast
maxillas	upper jaws
maxilla	upper jaw
maxima	the largest possibles
maximum	the largest possible
medications	drugs
medication	drug
medicines	drugs
medicine	drugged
medicine	drug
medicine	drugging
medicine	drug
medicine	drugged
medicine	drug
melanomas	skin cancers
melanoma	skin cancer
memory cell	a cell that helps your body quickly fight diseases that you’ve gotten before
menopauses	women’s “change of life”s
menopause	women’s “change of life”
longer had periods	
longer have periods	
longer having periods	
longer have periods	
longer had periods	
longer have periods	
menstruations	periods
menstruation	period
mental health conditioned	mental disordered
mental health condition	mental disorder
mental health conditioning	mental disordering
mental health condition	mental disorder
mental health conditioned	mental disordered
mental health condition	mental disorder
mentalities	frames of mind
mentality	frame of mind
mesial	front of
metabolisms	processes of getting energy from food
metabolism	process of getting energy from food
mgs	milligrams
mg	milligram
microbes	very tiny fungi
might qualified	might get
might qualify	might get
might qualifying	might get
might qualify	might get
might qualified	might get
might qualify	might get
migrated	moved
migrate	move
migrating	moving
migrate	move
migrated	moved
migrate	move
migrations	movings
migration	moving
mild	gentle
mildews	fungus that grow in damp warm areass
mildewed	fungus that grew in damped warmed areas
mildew	fungus that grow in damp warm areas
mildewing	fungus that growing in damping warming areas
mildew	fungus that grow in damp warm areas
mildewed	fungus that grown in damped warmed areas
mildew	fungus that grow in damp warm areas
minimal	least
minimized	made smaller
minimize	make smaller
minimizing	making smaller
minimize	make smaller
minimized	made smaller
minimize	make smaller
miniscule	very small
miscarriages	lose the babies
miscarriage	lose the baby
mites	very tiny
mitigated	made less harmful
mitigate	make less harmful
mitigating	making less harmful
mitigate	make less harmful
mitigated	made less harmful
mitigate	make less harmful
mobilities	abilities to move
mobility	ability to move
moderates	media
moderated	medium
moderate	medium
moderating	medium
moderate	medium
moderated	medium
moderate	medium
modified	changed
modify	change
modifying	changing
modify	change
modified	changed
modify	change
molars	back teeth
molds	growths on food and damp surfaces
mold	growth on food and damped surfaces
mold	growth on food and damp surfaces
mold	growth on food and damping surfaces
mold	growth on food and damp surfaces
mold	growth on food and damped surfaces
mold	growth on food and damp surfaces
monitors	watches
monitored	watched
monitor	watch
monitoring	watching
monitor	watch
monitored	watched
monitor	watch
morbidities	diseaseds
morbidity	diseased
mortalities	deaths
mortality	death
mortality rates	numbers of deaths
mortality rated	numbed of deaths
mortality rate	number of deaths
mortality rating	numbing of deaths
mortality rate	number of deaths
mortality rated	numbed of deaths
mortality rate	number of deaths
motored vehicle accident	car crashed
motor vehicle accident	car crash
motoring vehicle accident	car crashing
motor vehicle accident	car crash
motored vehicle accident	car crashed
motor vehicle accident	car crash
MRSA	bacteria that resists antibiotics
mucosal (mucus) membranes	soft
mucuss	phlegms
mucus	phlegm
multiple scleroses	central nervous system diseases
multiple sclerosis	central nervous system disease
muscle contractions	muscle twitches
muscled contraction	muscled twitched
muscle contraction	muscle twitch
muscling contraction	muscling twitching
muscle contraction	muscle twitch
muscled contraction	muscled twitched
muscle contraction	muscle twitch
mutagens	causes
mutagen	cause
mutations	changes over time
mutation	change over time
myocardial infarctions	heart attacks
myocardial infarction	heart attack
narcotics	addictive pain medicines
narcotic	addictive pain medicine
nebulizers	asthma medicine misters
nebulizer	asthma medicine mister
necessaries	neededs
necessary	needed
negligent	careless
neonatal deaths	infant deaths
neonatal death	infant death
neonatal	newborn
neonatologist	baby doctor
nephrologies	studies of kidney problems
nephrology	study of kidney problems
neuraminidase	enzyme on the surface of the virus
neuritis	swellings of a nerve
neuritis	swelling of a nerve
neurologic	relating to the nervous system
neurological	related to the brain and nervous system
neurologies	studies of the nervous system
neurology	study of the nervous system
neuropathies	diseases of the nervous system
neuropathy	disease of the nervous system
neutralized	cancelled
neutralize	cancel
neutralizing	cancelling
neutralize	cancel
neutralized	cancelled
neutralize	cancel
nominals	smalls
nominal	small
nonpharmaceutical intervention	ways to stop the spread of illness without drugs
nosocomial	an infection you catch in the hospital
notifications	notices
notification	notice
noxious	dangerous
nutritions	foods
nutrition	food
nutritious	wholesome
obesities	dangerously overweights
obesity	dangerously overweight
objectives	goals
objective	goal
obscured	hidden
obscure	hidden
obscuring	hidden
obscure	hidden
obscured	hidden
obscure	hidden
observations	close looks
observation	close look
observed	looked closely
observe	look closely
observing	looking closely
observe	look closely
observed	looked closely
observe	look closely
obstetricians	pregnancy doctors
obstetrician	pregnancy doctor
obstructed	blocked
obstruct	block
obstructing	blocking
obstruct	block
obstructed	blocked
obstruct	block
obstructions	barriers
obstruction	barrier
obtained	get
obtain	get
obtaining	get
obtain	get
obtained	get
obtain	get
obvious	clear
occasionally	sometimes
occlusal	chewing or grinding surface of back teeth
occupations	jobs
occupation	job
occupational therapist	someone who helps people who are sick or injured learn or relearn activities of daily life
occupational therapies	therapy that helps you relearn everyday activitiess
occupational therapy	therapy that helps you relearn everyday activities
occurred	happened
occur	happen
occurring	happening
occur	happen
occurred	happened
occur	happen
occurrences	events
occurrence	event
on an emptied stomached	did not ate or drank
on an empty stomach	do not eat or drink
on an emptying stomaching	doing not eating or drinking
on an empty stomach	do not eat or drink
on an emptied stomached	done not eaten or drunk
on an empty stomach	do not eat or drink
opened bited	upper and lowered fronted teeth did not touched evened when mouthed is closed and/or backed teeth are touching
open bite	upper and lower front teeth do not touch even when mouth is closed and/or back teeth are touching
opening biting	upper and lowering fronting teeth doing not touching evening when mouthing is closed and/or backing teeth are touching
open bite	upper and lower front teeth do not touch even when mouth is closed and/or back teeth are touching
opened bitten	upper and lowered fronted teeth done not touched evened when mouthed is closed and/or backed teeth are touching
open bite	upper and lower front teeth do not touch even when mouth is closed and/or back teeth are touching
opportunistic infections	infection you get because you’re already weaks
opportunistic infection	infection you get because you’re already weak
optic neuritis	eye disease
optimal/optimum	best
options	choices
option	choice
orals	mouth and jaws
oral	mouth and jaw
oral consented	you said it is OK for the doctored to did a tested or procedure
oral consent	you say it is OK for the doctor to do a test or procedure
oral consenting	you saying it is OK for the doctoring to doing a testing or procedure
oral consent	you say it is OK for the doctor to do a test or procedure
oral consented	you said it is OK for the doctored to done a tested or procedure
oral consent	you say it is OK for the doctor to do a test or procedure
oral medication	medication you swallow
oral surgery	mouth operation
orchitis	side effect of mumps
orchitis	side effect of mumps
originated	started
originate	start
originating	starting
originate	start
originated	started
originate	start
orthodontic	braces
orthopedic surgeon	bone and joint doctor
orthopedic's	bone and joint doctor’s office
orthotic	support or brace
ossifications	bone formations
ossification	bone formation
osteonecrosis	bone death
osteoporoses	brittle boness
osteoporosis	brittle bones
otitis medias	middle ear infections
otitis media	middle ear infection
outbreaks	beginnings
outbreak	beginning
outermost	farthest
ova/ovum	egg/eggs
overabundances	too muches
overabundance	too much
overbites	front upper teeths overlap lower teeths
overbite	front upper teeth overlap lower teeth
palatable	pleasing
palates	roofs of mouth
palate	roof of mouth
pandemic flu	deadly flu
pandemic vaccine	pandemic flu vaccine
panzootic	a flu pandemic in animals
animals	
papules	small red dot on your skins
papule	small red dot on your skin
paralyses	can’t moves
paralysis	can’t move
parameters	limits
parameter	limit
paramount	most important
parasites	animal or plants living off another animal or plants
parasite	animal or plant living off another animal or plant
participated	took parted
participate	take part
participating	taking parting
participate	take part
participated	taken parted
participate	take part
passive immunities	temporary disease protection from mothers
passive immunity	temporary disease protection from mother
pathogens	germs
pathogen	germ
pathogenic	disease causing
peaked flowed metered	small tooled used to measured how fasted you could blew outed aired
peak flow meter	small tool used to measure how fast you can blow out air
peaking flowing metering	small tooling used to measuring how fasting you  blowing outing airing
peak flow meter	small tool used to measure how fast you can blow out air
peaked flowed metered	small tooled used to measured how fasted you  blown outed aired
peak flow meter	small tool used to measure how fast you can blow out air
peaked flowed	the fastest you could blew outed aired
peak flow	the fastest you can blow out air
peaking flowing	the fastest you  blowing outing airing
peak flow	the fastest you can blow out air
peaked flowed	the fastest you  blown outed aired
peak flow	the fastest you can blow out air
pediatricians	baby doctors; children’s doctors
pediatrician	baby doctor; children’s doctor
pedodontic (pediatric dentistry)	children's dentistry
pending	coming
perforations	holes
perforation	hole
performed	did
perform	do
performing	doing
perform	do
performed	done
perform	do
pericarditis	heart inflammations
pericarditis	heart inflammation
perinatal	near the time of birth
perinatal death	death around birth
perinatologists	high-risk pregnancy doctors
perinatologist	high-risk pregnancy doctor
periodontal disease (periodontitis)	gum disease
periodontic	treatment of gum disease and related bone loss
peripheries	edges
periphery	edge
peritoneums	linings of your stomach
peritoneum	lining of your stomach
permanents	lastings
permanent	lasting
permits	allows
permitted	allowed
permit	allow
permitting	allowing
permit	allow
permitted	allowed
permit	allow
permutations	changes
permutation	change
persevered	held on
persevere	hold on
persevering	holding on
persevere	hold on
persevered	held on
persevere	hold on
persistent	there all the time
personal protective equipment (PPE)	gowns
personnels	peoples
personnel	people
perspired	sweat
perspire	sweat
perspiring	sweat
perspire	sweat
perspired	sweat
perspire	sweat
persuaded	convinced
persuade	convince
persuading	convincing
persuade	convince
persuaded	convinced
persuade	convince
pertinent	fitting
petechiae	tiny red or purple spot on your skin
pharmacists	druggists
pharmacist	druggist
photosensitive	sun-sensitive
physical/physically	body
physical activity	of the body
physical examination	check-up
physical therapists	someone who treats pain and weakness by exercises
physical therapist	someone who treats pain and weakness by exercise
physical therapies	treatments of pain and weakness through exercise
physical therapy	treatment of pain and weakness through exercise
physicians	doctors
physician	doctor
picas	cravings
pica	craving
pictographs	symbols (examples below)
PID	Pelvic inflammatory disease
pigmentations	colors
pigmentation	color
pitted and fissured sealant (dental sealant)	thinned layered of plastic painted onto teeth to prevented decayed
pit and fissure sealant (dental sealant)	thin layer of plastic painted onto teeth to prevent decay
pitting and fissuring sealant (dental sealant)	thinning layering of plastic painted onto teeth to preventing decaying
pit and fissure sealant (dental sealant)	thin layer of plastic painted onto teeth to prevent decay
pitted and fissured sealant (dental sealant)	thinned layered of plastic painted onto teeth to prevented decayed
pit and fissure sealant (dental sealant)	thin layer of plastic painted onto teeth to prevent decay
placeboes	sugar pills
placebo	sugar pill
placed	put
placentas	organ that attaches umbilical cord to the inside of the wombs
placenta	organ that attaches umbilical cord to the inside of the womb
plaques	sticky film with germs on teeths
plaque	sticky film with germs on teeth
platelets	blood clotting cells
platelet	blood clotting cell
pleurisies	lung inflammations
pleurisy	lung inflammation
pneumonias	lung infections
pneumonia	lung infection
PO	taken by mouth
podiatries	treating feet problemss
podiatry	treating feet problems
poliomyelitis	polio; a disease that can make you unable to moves
poliomyelitis	polio; a disease that can make you unable to move
polluted	dirtied
pollute	dirty
polluting	dirtying
pollute	dirty
polluted	dirtied
pollute	dirty
polysaccharide vaccines	sugar vaccines
polyurethanes	plastics
polyurethane	plastic
portions	pieces
portioned	pieced
portion	piece
portioning	piecing
portion	piece
portioned	pieced
portion	piece
positions	jobs
positioned	jobbed
position	job
positioning	jobbing
position	job
positioned	jobbed
position	job
possessed	had
possess	have
possessing	having
possess	have
possessed	had
possess	have
possibilities	chances
possibility	chance
posterior teeth	back teeth
post-exposure prophylaxis	drug given to someone who has been near someone sick
prevented the spread of disease	
prevent the spread of disease	
preventing the spreading of disease	
prevent the spread of disease	
prevented the spread of disease	
prevent the spread of disease	
post-partum depression	baby blues
postponed	put off
postpone	put off
postponing	putting off
postpone	put off
postponed	put off
postpone	put off
potencies	strengths
potency	strength
precautions	safeguards
precaution	safeguard
predicaments	problems
predicament	problem
pregnancies	pregnants
pregnancy	pregnant
preliminaries	earlies
preliminary	early
pre-pandemic vaccine	pandemic flu or deadly flu vaccine; shot
preparednesses	readinesses
preparedness	readiness
prepuces	foreskins
prepuce	foreskin
prerogatives	rights
prerogative	right
prescriber	doctor
prescriptions	doctors orderss
prescription	doctors orders
presents	gives
presented	gave
present	give
presenting	giving
present	give
presented	given
present	give
prevalences	numbers of sick people
prevalence	number of sick people
prevented	stopped
prevent	stop
preventing	stopping
prevent	stop
prevented	stopped
prevent	stop
preventives	(i.e.; preventive services) practices that help keep you wells
preventive	(i.e.; preventive services) practices that help keep you well
preventions	stops
prevention	stop
primary teeth	baby teeth
principals	mains
principal	main
prior to	before
probabilities	chances
probability	chance
proximal	near to
procedures	stepss
procedure	steps
proceeded	went
proceed	go
proceeding	going
proceed	go
proceeded	gone
proceed	go
prodromal	signs of disease or attack
proficient	skilled
progressions	move forwards
progression	move forward
prohibited	banned
prohibit	ban
prohibiting	banning
prohibit	ban
prohibited	banned
prohibit	ban
projectiles	flying objects
projectile	flying object
proliferated	grew
proliferate	grow
proliferating	growing
proliferate	grow
proliferated	grown
proliferate	grow
prophylactics	pregnancy prevention drugs
prophylactic	pregnancy prevention drug
prophylaxes	preventions
prophylaxis	prevention
prophylaxis (dental, oral)	basic teeth cleaning
prostates	glands in male body that makes semen
prostate	gland in male body that makes semen
prostatitis	infections of the prostate
prostatitis	infection of the prostate
prosthodontic	treatment using crowns
protocols	ways of doing things
protocol	way of doing things
provided	gave
provide	give
providing	giving
provide	give
provided	given
provide	give
providers	professionals
provider	professional
provoked	made worse
provoke	make worse
provoking	making worse
provoke	make worse
provoked	made worse
provoke	make worse
proximal	near to
psoriases	a dries
psoriasis	a dry
psoriatic arthritis	joint swelling disease with skin rashes
psoriatic arthritis	joint swelling disease with skin rash
psychiatrists	mental health doctors
psychiatrist	mental health doctor
psychiatries	studies of mental health
psychiatry	study of mental health
PSA	prostate test
PTSD	problem with fear after seeing or having a fearful event
experiences	s
experienced	
experience	
experiencing	
experience	
experienced	
experience	
public health	everyone’s health
puffs	a shorts
puffed	a shorted
puff	a short
puffing	a shorting
puff	a short
puffed	a shorted
puff	a short
pulmonary	related to the lungs
pulmonary cancer	cancer of lung
pulmonary cared unit	lung disease treatment area of hospital
pulmonary care unit	lung disease treatment area of hospital
pulmonary caring unit	lung disease treatment area of hospital
pulmonary care unit	lung disease treatment area of hospital
pulmonary cared unit	lung disease treatment area of hospital
pulmonary care unit	lung disease treatment area of hospital
pulmonary fibrosis	lung disease
pulmonologist	lung doctor
pulmonology	study of lung disease
pulps	tooth nerves
pulped	tooth nerved
pulp	tooth nerve
pulping	tooth nerving
pulp	tooth nerve
pulped	tooth nerved
pulp	tooth nerve
pulpectomy	remove nerve from tooth
pulpitis	infection of nerve inside tooth
pulpotomy	take out the nerve from a tooth
