Term	Definition
stratified	Arrange in groups fro analysis of results
stratify	Arrange in groups fro analysis of results
stratifying	Arrange in groups fro analysis of results
stratify	Arrange in groups fro analysis of results
stratified	Arrange in groups fro analysis of results
stratify	Arrange in groups fro analysis of results
stupors	stunned state in which it is difficult to get a responses
stupor	stunned state in which it is difficult to get a response
Page 9 of 11	
MEDICAL TERM	LAY TERMINOLOGY
subclavian	under the collarbone
subcutaneous	under the skin
superficial	near the surface
supine	to lie flat facing up; to lie on the back
sutures	stitchess
sutured	stitches
suture	stitches
suturing	stitches
suture	stitches
sutured	stitches
suture	stitches
symptoms	signs of disease or illness
symptomatic	having symptoms
syncopes	fainting or lightheadednesses
syncope	fainting or lightheadedness
syndromes	a condition characterized by a set of symptomss
syndrome	a condition characterized by a set of symptoms
systolic blooded pressured	topped numbed of by blooded pressured reading
systolic blood pressure	top number of by blood pressure reading
systolic blooding pressuring	topping numbing of by blooding pressuring reading
systolic blood pressure	top number of by blood pressure reading
systolic blooded pressured	topped numbed of by blooded pressured reading
systolic blood pressure	top number of by blood pressure reading
tachycardias	fast heart rates
tachycardia	fast heart rate
telemetries	to monitor the ( ) from a distances
telemetry	to monitor the ( ) from a distance
teratogenic	can cause malformations in unborn fetuses
testes	male sex glands; male organs which produce sperm
therapeutic dosed	the amounted of medication needed to treated the conditioned
therapeutic dose	the amount of medication needed to treat the condition
therapeutic dosing	the amounting of medication needed to treating the conditioning
therapeutic dose	the amount of medication needed to treat the condition
therapeutic dosed	the amounted of medication needed to treated the conditioned
therapeutic dose	the amount of medication needed to treat the condition
third party payers	health insurance; Medicare
third party payers	health insurance; Medicare
third party payers	health insurance; Medicare
third party payers	health insurance; Medicare
third party payers	health insurance; Medicare
third party payers	health insurance; Medicare
thromboses	blood clotting within blood vesselss
thrombosis	blood clotting within blood vessels
TID	three times a day
tinnituss	ringings in the ears
tinnitus	ringing in the ears
titrations	adjustings to the necessary dose
titration	adjusting to the necessary dose
T-lymphocytes	type of white blood cells involved in immune reactions
topical	applied to the surface of the skin
toxicities	side effects or undesirable effects of a drugs
toxicity	side effects or undesirable effects of a drug
tracheas	windpipes
trachea	windpipe
transdermal	through the skin
transiently	temporarily
traumata	injury; wounds
trauma	injury; wound
treadmills	walking machine often used to determine heart functions
treadmill	walking machine often used to determine heart function
tremors	shakinesses
tremor	shakiness
tremor	shakiness
tremor	shakiness
tremor	shakiness
tremor	shakiness
tremor	shakiness
trials	studies
trial	study
triglycerides	fats in the blood
triglyceride	fat in the blood
tubal ligations	having the tubes tieds
tubal ligation	having the tubes tied
unable to complied with the studied	cannot followed studied directions
unable to comply with the study	cannot follow study directions
unable to complying with the studying	cannot following studying directions
unable to comply with the study	cannot follow study directions
unable to complied with the studied	cannot followed studied directions
unable to comply with the study	cannot follow study directions
requirements	
ureters	the tube that carries urine from the kidneys to by bladders
ureter	the tube that carries urine from the kidneys to by bladder
urethras	the tube that carries urine from the bladder outside the bodies
urethra	the tube that carries urine from the bladder outside the body
urinalyses	urines exam; test of the urines
urinalysis	urine exam; test of the urine
vaginitis	infections in the vagina or birth canal
vaginitis	infection in the vagina or birth canal
Page 10 of 11	
MEDICAL TERM	LAY TERMINOLOGY
valvuloplasty	plastic repair of a valve
varices	enlarged veins
vasospasm	narrowing of blood vessels due to spasm of vessel walls
vectors	A carriers
vector	A carrier
germs	
veins	blood vessels
veined	blooded vessel
vein	blood vessel
veining	blooding vessel
vein	blood vessel
veined	blooded vessel
vein	blood vessel
venipunctures	to put a needle into the blood vessels
venipuncture	to put a needle into the blood vessel
verbal	speak; talk
vertical transmission	spread of disease
vertigoes	a feeling of losing the balance; dizzinesses
vertigo	a feeling of losing the balance; dizziness
voids	to make or pass urines
voided	to made or passed urine
void	to make or pass urine
voiding	to making or passing urine
void	to make or pass urine
voided	to made or passed urine
void	to make or pass urine
waived	to gave upped
waive	to give up
waiving	to giving upping
waive	to give up
waived	to given upped
waive	to give up
withdrew	leaved the study; quitted
withdraw	leave the study; quit
withdrawing	leaving the study; quitting
withdraw	leave the study; quit
withdrawn	leaved the study; quitted
withdraw	leave the study; quit
Page 11 of 11	
